code_postal,Commune,Code Département,Département,Code Région,Région
18140,SAINT-MARTIN-DES-CHAMPS,18,CHER,24,CENTRE
58290,ISENAY,58,NIEVRE,26,BOURGOGNE
50200,GRATOT,50,MANCHE,25,BASSE-NORMANDIE
46300,SAINT-PROJET,46,LOT,73,MIDI-PYRENEES
60400,MONDESCOURT,60,OISE,22,PICARDIE
24560,COLOMBIER,24,DORDOGNE,72,AQUITAINE
60400,LARBROYE,60,OISE,22,PICARDIE
86530,AVAILLES-EN-CHATELLERAULT,86,VIENNE,54,POITOU-CHARENTES
34400,SATURARGUES,34,HERAULT,91,LANGUEDOC-ROUSSILLON
52700,DARMANNES,52,HAUTE-MARNE,21,CHAMPAGNE-ARDENNE
04200,VAUMEILH,04,ALPES-DE-HAUTE-PROVENCE,93,PROVENCE-ALPES-COTE D'AZUR
17130,ROUFFIGNAC,17,CHARENTE-MARITIME,54,POITOU-CHARENTES
50720,BARENTON,50,MANCHE,25,BASSE-NORMANDIE
60660,SAINT-VAAST-LES-MELLO,60,OISE,22,PICARDIE
14220,THURY-HARCOURT,14,CALVADOS,25,BASSE-NORMANDIE
11500,SAINT-JULIA-DE-BEC,11,AUDE,91,LANGUEDOC-ROUSSILLON
43150,CHADRON,43,HAUTE-LOIRE,83,AUVERGNE
81170,TONNAC,81,TARN,73,MIDI-PYRENEES
91730,MAUCHAMPS,91,ESSONNE,11,ILE-DE-FRANCE
55130,VAUDEVILLE-LE-HAUT,55,MEUSE,41,LORRAINE
54370,RECHICOURT-LA-PETITE,54,MEURTHE-ET-MOSELLE,41,LORRAINE
11400,FONTERS-DU-RAZES,11,AUDE,91,LANGUEDOC-ROUSSILLON
32400,LELIN-LAPUJOLLE,32,GERS,73,MIDI-PYRENEES
63490,BROUSSE,63,PUY-DE-DOME,83,AUVERGNE
41500,LA CHAPELLE-SAINT-MARTIN-EN-PLAINE,41,LOIR-ET-CHER,24,CENTRE
60170,SAINT-LEGER-AUX-BOIS,60,OISE,22,PICARDIE
22480,SAINT-CONNAN,22,COTES-D'ARMOR,53,BRETAGNE
47600,NOMDIEU,47,LOT-ET-GARONNE,72,AQUITAINE
52700,SEMILLY,52,HAUTE-MARNE,21,CHAMPAGNE-ARDENNE
26240,SAINT-VALLIER,26,DROME,82,RHONE-ALPES
